"","consumer","resource"
"1180",121,18
"1181",121,22
"1182",121,62
"1183",121,64
"1184",121,65
"1185",121,66
"1186",121,67
"1187",121,68
"1188",121,74
"1189",121,75
"1190",121,79
"1191",121,80
"1192",121,81
"1193",122,41
"1194",122,42
"1195",122,43
"1196",122,91
"1197",122,100
"1198",122,101
"1199",122,102
"1200",123,41
"1201",123,42
"1202",123,43
"1203",123,91
"1204",123,100
"1205",123,101
"1206",123,102
"1207",125,46
"1208",129,46
"1209",133,46
"1210",137,46
"1211",141,46
"1212",145,46
"1213",149,48
"1214",153,46
"1215",157,51
"1216",161,45
"1217",172,52
"1218",173,99
"1219",174,52
"1220",177,48
"1221",124,107
"1222",124,108
"1223",124,109
"1224",124,110
"1225",124,111
"1226",124,112
"1227",124,114
"1228",124,116
"1229",124,117
"1230",124,119
"1231",128,107
"1232",128,108
"1233",128,110
"1234",128,111
"1235",128,112
"1236",128,122
"1237",128,123
"1238",132,108
"1239",132,109
"1240",132,111
"1241",132,114
"1242",132,116
"1243",132,117
"1244",132,119
"1245",136,110
"1246",136,111
"1247",136,112
"1248",136,113
"1249",136,115
"1250",136,122
"1251",136,123
"1252",140,107
"1253",140,108
"1254",140,110
"1255",140,111
"1256",140,114
"1257",140,118
"1258",144,110
"1259",144,114
"1260",144,116
"1261",144,117
"1262",144,118
"1263",144,119
"1264",144,120
"1265",148,107
"1266",148,108
"1267",148,110
"1268",148,111
"1269",148,114
"1270",148,118
"1271",152,107
"1272",152,108
"1273",152,110
"1274",152,111
"1275",152,114
"1276",152,118
"1277",156,107
"1278",156,108
"1279",156,110
"1280",156,111
"1281",156,114
"1282",156,118
"1283",160,100
"1284",160,101
"1285",160,102
"1286",164,102
"1287",164,103
"1288",164,104
"1289",164,105
"1290",164,106
"1291",166,107
"1292",166,108
"1293",166,110
"1294",166,111
"1295",166,112
"1296",166,122
"1297",166,123
"1298",168,107
"1299",168,108
"1300",168,110
"1301",168,111
"1302",168,112
"1303",168,122
"1304",168,123
"1305",170,107
"1306",170,108
"1307",170,110
"1308",170,111
"1309",170,112
"1310",170,122
"1311",170,123
"1312",176,110
"1313",176,111
"1314",176,112
"1315",176,113
"1316",176,115
"1317",176,122
"1318",176,123
"1319",180,52
"1320",180,98
"1321",147,3
"1322",127,33
"1323",127,34
"1324",127,35
"1325",127,36
"1326",127,37
"1327",127,38
"1328",127,41
"1329",127,42
"1330",127,43
"1331",127,86
"1332",127,87
"1333",127,91
"1334",131,41
"1335",131,42
"1336",131,43
"1337",131,91
"1338",135,33
"1339",135,34
"1340",135,35
"1341",135,36
"1342",135,37
"1343",135,38
"1344",135,86
"1345",135,87
"1346",139,100
"1347",139,101
"1348",139,102
"1349",143,52
"1350",143,98
"1351",147,45
"1352",147,46
"1353",147,48
"1354",147,94
"1355",147,95
"1356",151,52
"1357",155,52
"1358",159,52
"1359",163,12
"1360",163,13
"1361",163,61
"1362",165,41
"1363",165,42
"1364",165,43
"1365",165,91
"1366",167,41
"1367",167,42
"1368",167,43
"1369",167,91
"1370",169,41
"1371",169,42
"1372",169,43
"1373",169,91
"1374",171,41
"1375",171,42
"1376",171,43
"1377",171,91
"1378",179,100
"1379",179,101
"1380",179,102
"1381",5,127
"1382",5,135
"1383",7,125
"1384",7,127
"1385",7,129
"1386",7,131
"1387",7,133
"1388",7,135
"1389",7,137
"1390",7,141
"1391",7,145
"1392",7,153
"1393",7,161
"1394",9,127
"1395",9,135
"1396",10,127
"1397",10,135
"1398",19,127
"1399",19,135
"1400",22,127
"1401",22,135
"1402",33,127
"1403",33,135
"1404",34,127
"1405",34,135
"1406",35,127
"1407",35,135
"1408",40,127
"1409",40,135
"1410",40,139
"1411",40,160
"1412",40,179
"1413",41,127
"1414",41,131
"1415",41,135
"1416",41,143
"1417",41,149
"1418",41,151
"1419",41,155
"1420",41,159
"1421",41,161
"1422",41,165
"1423",41,167
"1424",41,169
"1425",41,170
"1426",41,174
"1427",41,177
"1428",42,125
"1429",42,127
"1430",42,129
"1431",42,131
"1432",42,133
"1433",42,137
"1434",42,141
"1435",42,143
"1436",42,145
"1437",42,149
"1438",42,151
"1439",42,153
"1440",42,155
"1441",42,157
"1442",42,159
"1443",42,161
"1444",42,165
"1445",42,167
"1446",42,169
"1447",42,171
"1448",42,174
"1449",43,125
"1450",43,127
"1451",43,129
"1452",43,131
"1453",43,133
"1454",43,137
"1455",43,141
"1456",43,143
"1457",43,145
"1458",43,149
"1459",43,151
"1460",43,153
"1461",43,155
"1462",43,157
"1463",43,159
"1464",43,161
"1465",43,165
"1466",43,167
"1467",43,169
"1468",43,171
"1469",43,174
"1470",48,127
"1471",48,131
"1472",48,143
"1473",48,151
"1474",48,155
"1475",48,159
"1476",48,161
"1477",48,165
"1478",48,167
"1479",48,169
"1480",48,171
"1481",48,174
"1482",60,127
"1483",60,135
"1484",67,127
"1485",67,135
"1486",69,127
"1487",69,135
"1488",70,127
"1489",70,135
"1490",71,127
"1491",71,135
"1492",72,127
"1493",72,135
"1494",74,127
"1495",74,135
